Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (million GBP)
04/11/2019,ADALAN VENTURES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,2.31
16/12/2005,ADM ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,1.1
28/09/2004,ADMIRAL GROUP PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,"8,279.42"
12/12/2019,ADRIATIC METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,676.53
04/12/2020,ADVANCEDADVT LIMITED,Technology,Technology,British Virgin Islands,North America,AIM ,Yes,196.47
30/04/2002,ADVANCED MEDICAL SOLUTIONS GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,455.34
20/03/2000,ADVFN PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,6.02
27/07/1938,AECI LD,Basic Materials,Chemicals,South Africa,Africa,MAIN MARKET ,Yes,-
01/05/2002,AEOREMA COMMUNICATIONS PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,4.75
12/05/2015,AEW UK REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,161.59
26/07/2010,AFARAK GROUP SE,Basic Materials,Basic Resources,Finland,Europe,MAIN MARKET ,Yes,52.2
24/04/2007,AFC ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,79.37
21/10/2002,AFENTRA PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,107.88
09/06/2004,AFERIAN PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,4.45
01/06/2021,AFRICAN PIONEER PLC,Basic Materials,Basic Resources,Isle of Man,Europe,MAIN MARKET ,No,3.09
24/07/2007,AFRICA OPPORTUNITY FUND LIMITED,,,Cayman Islands,North America,MAIN MARKET ,Yes,-
05/02/2009,AGRITERRA LD,Consumer Staples ,"Food, Beverage and Tobacco ",Guernsey,Europe,AIM ,No,0.57
15/09/2011,AGRONOMICS LIMITED,Health Care ,Health Care  ,Isle of Man,Europe,AIM ,No,38.86
11/12/2017,AIB GROUP PLC,Financials,Banks,Ireland,Europe,MAIN MARKET ,Yes,"11,188.15"
09/01/2018,AIQ LIMITED,Technology,Technology,Cayman Islands,North America,MAIN MARKET ,Yes,2.59
09/02/2024,AIR ASTANA JOINT STOCK COMPANY,Consumer Discretionary,Travel and Leisure,Kazakhstan,Asia,MAIN MARKET ,Yes,-
15/12/2004,AIR CHINA LD,Consumer Discretionary,Travel and Leisure,China,Asia,MAIN MARKET ,Yes,-
21/12/2005,AIREA PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,10.96
28/06/2019,AIRTEL AFRICA PLC,Telecommunications,Telecommunications,United Kingdom,Europe,MAIN MARKET ,No,"5,306.69"
07/04/2022,AJAX RESOURCES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1.41
07/12/2018,AJ BELL PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,838.14"
04/04/2005,ALBA MINERAL RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,2.57
08/04/1998,ALBION CROWN VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,86.44
05/04/2007,ALBION ENTERPRISE VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,125.27
17/01/2001,ALBION TECHNOLOGY & GENERAL VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,129.35
26/05/2017,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,659.83
25/05/2006,ALIEN METALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,5.07
02/05/2007,ALINA HOLDINGS PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,1.82
27/09/2021,ALKEMY CAPITAL INVESTMENTS PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,15.43
11/10/2004,ALLERGY THERAPEUTICS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,333.65
17/12/2015,ALLIANCE PHARMA PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,331.27
17/07/1947,ALLIANCE WITAN PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"5,298.54"
04/12/1995,ALLIANZ TECHNOLOGY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,686.24"
07/04/2017,ALPHA GROUP INTERNATIONAL PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,088.85"
20/12/2017,ALPHA GROWTH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,6.78
13/05/2021,ALPHAWAVE IP GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"1,075.63"
06/06/2017,ALTERNATIVE INCOME REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,53.94
17/09/2015,ALTERNATIVE LIQUIDITY FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,5.7
07/11/2005,ALTITUDE GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,17.39
09/06/2023,ALTONA RARE EARTHS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,1.96
28/01/2022,ALT RESOURCES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,3.03
19/12/2014,ALTYNGOLD PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,69.43
30/05/1986,ALUMASC GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,105.69
30/11/2010,ALUMINIUM BAHRAIN B.S.C.,Basic Materials,Basic Resources,Bahrain,Middle East,MAIN MARKET ,Yes,-
02/08/2018,AMALA FOODS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",Jersey,Europe,MAIN MARKET ,No,0.5
31/07/2020,AMAROQ MINERALS LTD.,Basic Materials,Basic Resources,Canada,North America,AIM ,Yes,441.45
22/02/2001,AMATI AIM VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,104.4
20/12/2024,AMCOMRI GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,43.1
13/05/2015,AMEDEO AIR FOUR PLUS LIMITED,,,Guernsey,Europe,MAIN MARKET ,No,-
06/10/2017,AMER GROUP HOLDING COMPANY S.A.E,Real Estate,Real Estate ,Egypt,Middle East,ADMISSION TO TRADING ONLY ,Yes,-
08/06/2023,AMICORP FS (UK) PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,144.82
29/06/2018,AMIGO HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,2.57
06/07/1995,AMINEX PLC,Energy,Energy,Ireland,Europe,MAIN MARKET ,Yes,49.79
10/10/1991,ANA HOLDINGS INC.,Consumer Discretionary,Travel and Leisure,Japan,Asia,ADMISSION TO TRADING ONLY ,Yes,-
09/11/2017,ANDRADA MINING LIMITED,Basic Materials,Basic Resources,Guernsey,Europe,AIM ,No,33.09
24/12/2001,ANDREWS SYKES GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,217.67
26/10/2020,ANEMOI INTERNATIONAL LTD,Technology,Technology,British Virgin Islands,North America,MAIN MARKET ,Yes,0.71
20/06/2018,ANEXO GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,76.1
17/03/2004,ANGLE PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,52.27
06/06/1988,ANGLESEY MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,3.27
13/07/2017,ANGLING DIRECT PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,AIM ,No,29.9
24/05/1999,ANGLO AMERICAN PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"31,841.04"
29/07/2005,ANGLO ASIAN MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,124.52
24/04/1985,ANGLO-EASTERN PLANTATIONS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,266.94
14/11/2016,ANGUS ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,12.6
15/01/2008,ANIMALCARE GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,163.49
28/11/2006,ANPARIO PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,86.9
05/07/1982,ANTOFAGASTA PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,"17,006.03"
18/06/2024,"AOTI, INC.",Health Care ,Health Care  ,United States,North America,AIM ,Yes,122.31
03/03/2014,AO WORLD PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,570.44
15/06/2015,APAX GLOBAL ALPHA LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,658.33
24/10/2024,APPLIED NUTRITION PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,387
26/08/2016,APQ GLOBAL LIMITED,Financials,Financial Services ,Guernsey,Europe,AIM ,No,5.11
22/12/2021,APTAMER GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,8.45
02/05/1984,APTITUDE SOFTWARE GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,187.51
02/06/2021,AQUILA ENERGY EFFICIENCY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,41.13
05/06/2019,AQUILA EUROPEAN RENEWABLES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,410.5
14/06/2018,AQUIS EXCHANGE PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,193.22
27/06/2005,ARBUTHNOT BANKING GROUP PLC,Financials,Banks,United Kingdom,Europe,AIM ,No,150.94
15/09/2010,ARC MINERALS LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,21.72
04/12/2000,ARCONTECH GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,14.44
03/06/2021,ARECOR THERAPEUTICS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,22.09
25/06/2019,ARGENTEX GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,47.87
03/08/2018,ARGO BLOCKCHAIN PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,31.56
18/11/2008,ARGO GROUP LIMITED,Financials,Financial Services ,Isle of Man,Europe,AIM ,No,1.75
28/07/2005,ARIANA RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,33.93
31/07/2007,ARKLE RESOURCES PLC,Basic Materials,Basic Resources,Ireland,Europe,AIM ,Yes,1.41
25/10/2021,ARROW EXPLORATION CORP.,Energy,Energy,Canada,North America,AIM ,Yes,66.46
07/02/2022,ARTEMIS RESOURCES LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,9.7
13/07/2018,ASA INTERNATIONAL GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,96.5
10/11/2004,ASCENT RESOURCES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,6
05/04/2007,ASEANA PROPERTIES LIMITED,Real Estate,Real Estate ,Jersey,Europe,MAIN MARKET ,No,9.01
06/06/2023,ASHINGTON INNOVATION PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.54
17/10/2006,ASHMORE GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,211.66"
06/07/2018,ASHOKA INDIA EQUITY INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,474.5
03/05/2023,ASHOKA WHITEOAK EMERGING MARKETS TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,40.74
08/10/1990,ASHTEAD GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"23,127.64"
23/11/2021,ASHTEAD TECHNOLOGY HOLDINGS PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,448.95
07/09/1987,ASIA DRAGON TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,662.4
13/12/2006,ASIAMET RESOURCES LIMITED,Basic Materials,Basic Resources,Bermuda,North America,AIM ,Yes,22.32
22/08/2017,ASIA STRATEGIC HOLDINGS LIMITED,Consumer Discretionary,Consumer Products and Services,Singapore,Asia,MAIN MARKET ,Yes,10.34
03/10/2001,ASOS PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,507.03
30/03/2007,ASSETCO PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,49.87
05/11/1937,ASSOCIATED BRITISH ENGINEERING PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,0.31
01/08/1994,ASSOCIATED BRITISH FOODS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,"13,857"
28/01/2015,ASSURA PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"1,229.38"
03/10/2018,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET ,No,987.77
01/06/1993,ASTRAZENECA PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,"175,893.97"
09/05/2005,"ATALAYA MINING COPPER, S.A.",Basic Materials,Basic Resources,Spain,Europe,MAIN MARKET ,Yes,484.21
24/10/2022,ATERIAN PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,520.93
24/09/2008,ATHELNEY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,3.99
12/02/2015,ATLANTIC LITHIUM LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,83.04
23/07/2019,ATLAS METALS GROUP PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,1.51
30/12/2021,ATOME PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,21.83
23/02/2021,AUCTION TECHNOLOGY GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,756.02
12/12/2005,AUDIOBOOM GROUP PLC,Consumer Discretionary,Consumer Products and Services,Jersey,Europe,AIM ,No,61.1
13/03/2018,AUGMENTUM FINTECH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,162.69
25/04/2006,AUKETT SWANKE GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,5.46
12/09/2016,AURA ENERGY LIMITED,Energy,Energy,Australia,Pacific,AIM ,Yes,61.61
08/04/2022,AURA RENEWABLE ACQUISITIONS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.45
14/03/1997,AURORA UK ALPHA PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,269.25
15/09/2022,AURRIGO INTERNATIONAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,27.23
22/08/2016,AUTINS GROUP PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,AIM ,No,3.82
24/03/2015,AUTO TRADER GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"7,002.44"
08/08/2006,AVACTA GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,178.7
06/10/2010,AVATION PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,95.63
17/06/1943,AVI GLOBAL TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,067.37"
23/10/2018,AVI JAPAN OPPORTUNITY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,212.74
14/10/2004,AVINGTRANS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,122.43
04/06/1990,AVIVA PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,"14,027.12"
12/07/1949,AVON TECHNOLOGIES PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,449.64
22/03/2005,AXIS BANK LIMITED,Financials,Banks,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
30/06/2016,B90 HOLDINGS PLC,Consumer Discretionary,Travel and Leisure,Isle of Man,Europe,AIM ,No,12.12
14/08/1989,BABCOCK INTERNATIONAL GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"2,720.11"
11/02/1981,BAE SYSTEMS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"36,828.25"
11/02/1952,BAILLIE GIFFORD CHINA GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,137.1
29/06/1972,BAILLIE GIFFORD EUROPEAN GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,331.56
14/12/1981,BAILLIE GIFFORD JAPAN TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,637.94
01/07/1985,BAILLIE GIFFORD SHIN NIPPON PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,332.59
10/03/1994,BAILLIE GIFFORD UK GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,268.71
23/03/2018,BAILLIE GIFFORD US GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,768.43
28/04/2010,BAKER STEEL RESOURCES TRUST LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,60.15
03/11/2017,BAKKAVOR GROUP PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,773.53
28/06/1945,BALFOUR BEATTY PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,"2,395.17"
30/06/2021,BALTIC CLASSIFIEDS GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"1,663.75"
03/10/1988,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,Financials,Banks,Spain,Europe,MAIN MARKET ,Yes,"54,419.22"
01/07/2005,BANCO SANTANDER S.A.,Financials,Banks,Spain,Europe,MAIN MARKET ,Yes,"63,714.60"
30/06/2005,BANGO PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,78.75
12/01/1957,BANKERS INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,390.46"
05/10/2005,BANKMUSCAT (S.A.O.G.),Financials,Banks,Oman,Middle East,MAIN MARKET ,Yes,-
10/04/1996,BANK OF AFRICA,Financials,Banks,Morocco,Africa,MAIN MARKET ,Yes,-
28/02/2012,BANK OF GEORGIA GROUP PLC,Financials,Banks,United Kingdom,Europe,MAIN MARKET ,No,"2,108.92"
10/07/2017,BANK OF IRELAND GROUP PLC,Financials,Banks,Ireland,Europe,MAIN MARKET ,Yes,"8,058.99"
01/11/1953,BARCLAYS PLC,Financials,Banks,United Kingdom,Europe,MAIN MARKET ,No,"42,826.21"
18/12/2002,BARINGS EMERGING EMEA OPPORTUNITIES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,76.68
30/01/2001,BARONSMEAD SECOND VENTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,209.54
03/04/1998,BARONSMEAD VENTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,199.01
25/03/1970,BARR (A.G.) PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,683.38
29/11/1968,BARRATT REDROW PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"6,609.45"
12/07/1999,BATM ADVANCED COMMUNICATIONS LD,Health Care ,Health Care  ,Israel,Middle East,MAIN MARKET ,Yes,81.09
30/09/2021,BAY CAPITAL PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,5.78
21/12/2011,BBGI GLOBAL INFRASTRUCTURE S.A.,Financials,Financial Services ,Luxembourg,Europe,MAIN MARKET ,Yes,866.43
16/05/2016,BEACON ENERGY PLC,Energy,Energy,Isle of Man,Europe,AIM ,No,0.88
25/03/2022,BEACON RISE HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.94
12/11/2002,BEAZLEY PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,"5,354.84"
27/11/2017,BEEKS FINANCIAL CLOUD GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,190.43
01/10/2004,BEGBIES TRAYNOR GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,148.4
02/12/2016,BELLEVUE HEALTHCARE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,364.36
28/05/2021,BELLUSCURA PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,10.53
17/05/1979,BELLWAY PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"3,111.20"
30/12/2015,BENCHMARK HOLDINGS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,208.77
09/05/2005,BEOWULF MINING PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,6.22
06/12/2006,BERKELEY ENERGIA LIMITED,Basic Materials,Basic Resources,Australia,Pacific,MAIN MARKET ,Yes,85.82
16/12/1985,BERKELEY GROUP HOLDINGS (THE) PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"3,914.62"
21/10/2005,BEXIMCO PHARMACEUTICALS LIMITED,Health Care ,Health Care  ,Bangladesh,Asia,AIM ,Yes,-
29/09/2006,BEZANT RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,3.7
14/03/2007,BH MACRO LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,"1,423.23"
31/01/2022,BHP GROUP LIMITED,Basic Materials,Basic Resources,Australia,Pacific,MAIN MARKET ,Yes,"101,376.78"
12/05/2015,BIGBLU BROADBAND PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,18.54
28/07/2021,BIG TECHNOLOGIES PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,349.79
07/06/2002,BIG YELLOW GROUP PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"1,878.63"
29/09/1995,BILLINGTON HOLDINGS PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,64.98
13/07/2010,BIOME TECHNOLOGIES PLC,Basic Materials,Chemicals,United Kingdom,Europe,AIM ,No,1.8
27/03/2017,BIOPHARMA CREDIT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,808.44
23/06/1997,BIOTECH GROWTH TRUST (THE) PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,265.19
29/04/2014,BIOVENTIX PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,161.81
14/03/1948,BISICHI PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,11.21
29/02/2000,BLACKBIRD PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,17.9
09/04/2020,BLACKFINCH SPRING VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,44.71
24/10/2012,BLACKROCK AMERICAN INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,145.82
13/12/2005,BLACKROCK ENERGY AND RESOURCES INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,144.41
17/12/2010,BLACKROCK FRONTIERS INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,296.21
20/09/2004,BLACKROCK GREATER EUROPE INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,586.52
12/12/2001,BLACKROCK INCOME AND GROWTH INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,39
12/07/1990,BLACKROCK LATIN AMERICAN INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,89.82
25/03/1973,BLACKROCK SMALLER CO TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,621.16
08/06/1962,BLACKROCK THROGMORTON TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,499.11
15/12/1993,BLACKROCK WORLD MINING TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,949.36
18/04/2019,BLENCOWE RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,11.81
11/06/2018,BLOCK ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,5.13
23/06/1994,BLOOMSBURY PUBLISHING PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,543.51
11/04/2016,BLUEBIRD MINING VENTURES LTD,Basic Materials,Basic Resources,British Virgin Islands,North America,MAIN MARKET ,Yes,5.56
12/07/2013,BLUEFIELD SOLAR INCOME FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,486.69
25/04/1996,BLUE PLANET FINANCIALS GROWTH AND INCOME INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,-
29/10/2004,BLUE STAR CAPITAL PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,2.72
17/06/2014,B&M EUROPEAN VALUE RETAIL S.A.,Consumer Discretionary,Retail ,Luxembourg,Europe,MAIN MARKET ,Yes,"3,253.36"
28/01/1972,BODYCOTE PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"1,170.40"
20/11/2017,"BOKU, INC.",Industrials,Industrial Goods and Services,United States,North America,AIM ,Yes,529.12
14/03/2014,BOOHOO GROUP PLC,Consumer Discretionary,Retail ,Jersey,Europe,AIM ,No,405.11
29/11/1974,BOOT (HENRY) PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,274.72
24/05/2005,BORDERS & SOUTHERN PETROLEUM PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,41.54
12/10/2016,BOSTON INTERNATIONAL HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1.67
02/02/2011,BOTSWANA DIAMONDS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,2.16
02/02/2006,B.P. MARSH & PARTNERS PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,255.83
29/03/1954,BP PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,"67,860.35"
19/07/2021,BRADDA HEAD LITHIUM LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,4.88
27/11/1997,BRAEMAR PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,88.07
